[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Run LocationTemplate Behavior [ RunTime:0.000447s ]
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ view_template ] --END-- [ RunTime:0.000543s ]
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ view_parse ] --START--
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | NOTIC: [8] Undefined variable: title 30a99878984c7f18aa9ebcf65c3d6f43.php 第 10 行.
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Run ParseTemplate Behavior [ RunTime:0.008822s ]
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008900s ]
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ view_filter ] --START--
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Run ContentReplace Behavior [ RunTime:0.000469s ]
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Run TokenBuild Behavior [ RunTime:0.000411s ]
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000245s ]
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Run ShowRuntime Behavior [ RunTime:0.000494s ]
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001793s ]
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ view_end ] --START--
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Run ShowPageTrace Behavior [ RunTime:0.000450s ]
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ view_end ] --END-- [ RunTime:0.000512s ]
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/basic_info | INFO: Tag[ route_check ] --START--
