[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001157s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001309s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.003977s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.002315s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.004077s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.000455s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.003635s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi`  [ RunTime:0.001637s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | NOTIC: [8] Undefined index: username functions.php 第 441 行.
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_template ] --START--
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000990s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001089s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.023699s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023842s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000824s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.001103s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001631s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001142s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006905s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_end ] --START--
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001217s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001331s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002237s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002395s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.004950s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.001157s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.003625s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.002432s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.012220s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi`  [ RunTime:0.009492s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | NOTIC: [8] Undefined index: username functions.php 第 441 行.
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_template ] --START--
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001593s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001722s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.049257s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.049473s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.006848s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.001416s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000803s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.007113s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.016581s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_end ] --START--
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001234s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001336s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001417s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001567s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.007717s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.002022s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.003887s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.007333s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.003846s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi`  [ RunTime:0.001144s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | NOTIC: [8] Undefined index: username functions.php 第 441 行.
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_template ] --START--
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001293s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001431s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-09-14T22:49:05+08:00 ] /xxx2/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.053839s ]
[ 2012-09-14T22:49:05+08:00 ] /xxx2/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.053991s ]
[ 2012-09-14T22:49:05+08:00 ] /xxx2/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-09-14T22:49:05+08:00 ] /xxx2/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000937s ]
[ 2012-09-14T22:49:05+08:00 ] /xxx2/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.001329s ]
[ 2012-09-14T22:49:05+08:00 ] /xxx2/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000668s ]
[ 2012-09-14T22:49:05+08:00 ] /xxx2/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.003550s ]
[ 2012-09-14T22:49:05+08:00 ] /xxx2/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006779s ]
[ 2012-09-14T22:49:05+08:00 ] /xxx2/index.php | INFO: Tag[ view_end ] --START--
[ 2012-09-14T22:49:05+08:00 ] /xxx2/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001105s ]
[ 2012-09-14T22:49:05+08:00 ] /xxx2/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001220s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ app_begin ] --START--
