[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | SQL: SELECT `id`,`f_cata`,`isf`,`f_id`,`p_id` FROM `think_catalog` WHERE isf=1  [ RunTime:0.000093s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | NOTIC: [8] Undefined index: select FilmAction.class.php 第 71 行.
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | SQL: SHOW COLUMNS FROM `think_film` [ RunTime:0.000077s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | SQL: SELECT COUNT(*) AS tp_count FROM `think_film` LIMIT 1   [ RunTime:0.000089s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | SQL: SELECT `id`,`title`,`f_cata`,`user`,`title`,`dt` FROM `think_film` ORDER BY id desc LIMIT 0,8   [ RunTime:0.000155s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | INFO: Tag[ view_template ] --START--
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | INFO: Run LocationTemplate Behavior [ RunTime:0.001273s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | INFO: Tag[ view_template ] --END-- [ RunTime:0.001349s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | INFO: Tag[ view_parse ] --START--
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | INFO: Run ParseTemplate Behavior [ RunTime:0.014865s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014982s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | INFO: Tag[ view_filter ] --START--
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | INFO: Run ContentReplace Behavior [ RunTime:0.000884s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | INFO: Run TokenBuild Behavior [ RunTime:0.000809s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000295s ]
