[ 2012-09-01T01:08:05+08:00 ] /xxx2/admin.php/Index/lis | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020992s ]
[ 2012-09-01T01:08:05+08:00 ] /xxx2/admin.php/Index/lis | INFO: Tag[ view_filter ] --START--
[ 2012-09-01T01:08:05+08:00 ] /xxx2/admin.php/Index/lis | INFO: Run ContentReplace Behavior [ RunTime:0.000679s ]
[ 2012-09-01T01:08:05+08:00 ] /xxx2/admin.php/Index/lis | INFO: Run TokenBuild Behavior [ RunTime:0.000619s ]
[ 2012-09-01T01:08:05+08:00 ] /xxx2/admin.php/Index/lis | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000613s ]
[ 2012-09-01T01:08:05+08:00 ] /xxx2/admin.php/Index/lis | INFO: Run ShowRuntime Behavior [ RunTime:0.000779s ]
[ 2012-09-01T01:08:05+08:00 ] /xxx2/admin.php/Index/lis | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002908s ]
[ 2012-09-01T01:08:05+08:00 ] /xxx2/admin.php/Index/lis | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 120 行.
[ 2012-09-01T01:08:05+08:00 ] /xxx2/admin.php/Index/lis | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 121 行.
[ 2012-09-01T01:08:05+08:00 ] /xxx2/admin.php/Index/lis | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 122 行.
[ 2012-09-01T01:08:05+08:00 ] /xxx2/admin.php/Index/lis | INFO: Tag[ view_end ] --START--
[ 2012-09-01T01:08:05+08:00 ] /xxx2/admin.php/Index/lis | INFO: Run ShowPageTrace Behavior [ RunTime:0.000897s ]
[ 2012-09-01T01:08:05+08:00 ] /xxx2/admin.php/Index/lis | INFO: Tag[ view_end ] --END-- [ RunTime:0.000999s ]
[ 2012-09-01T01:08:05+08:00 ] /xxx2/admin.php/Index/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000929s ]
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001051s ]
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001032s ]
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001124s ]
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) IndexAction.class.php 第 12 行.
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000768s ]
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000869s ]
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | NOTIC: [8] Undefined variable: title 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 5 行.
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.012874s ]
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012967s ]
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000462s ]
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000483s ]
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000300s ]
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000679s ]
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002173s ]
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 120 行.
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 121 行.
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 122 行.
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001155s ]
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001309s ]
[ 2012-09-01T01:08:07+08:00 ] /xxx2/admin.php/Index/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ route_check ] --START--
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | INFO: Run CheckRoute Behavior [ RunTime:0.000898s ]
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001010s ]
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ app_begin ] --START--
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000595s ]
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000657s ]
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\ArticleAction.class.php:1) ArticleAction.class.php 第 11 行.
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.002193s ]
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | SQL: SELECT * FROM `think_catalog` WHERE isf=0  [ RunTime:0.000463s ]
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | NOTIC: [8] Undefined index: id ArticleAction.class.php 第 19 行.
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ view_template ] --START--
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000762s ]
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000834s ]
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ view_parse ] --START--
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | NOTIC: [8] Undefined variable: username 6a0fa1355e20b485f823227ab394fc93.php 第 34 行.
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | NOTIC: [8] Undefined variable: username 6a0fa1355e20b485f823227ab394fc93.php 第 34 行.
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | NOTIC: [8] Undefined variable: article_item 6a0fa1355e20b485f823227ab394fc93.php 第 97 行.
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | NOTIC: [8] Undefined variable: article_item 6a0fa1355e20b485f823227ab394fc93.php 第 109 行.
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | NOTIC: [8] Undefined variable: article_item 6a0fa1355e20b485f823227ab394fc93.php 第 115 行.
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | INFO: Run ParseTemplate Behavior [ RunTime:0.012451s ]
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012531s ]
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ view_filter ] --START--
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | INFO: Run ContentReplace Behavior [ RunTime:0.000506s ]
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | INFO: Run TokenBuild Behavior [ RunTime:0.000507s ]
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000284s ]
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000640s ]
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002150s ]
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\ArticleAction.class.php:1) View.class.php 第 120 行.
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\ArticleAction.class.php:1) View.class.php 第 121 行.
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\ArticleAction.class.php:1) View.class.php 第 122 行.
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ view_end ] --START--
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000593s ]
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000810s ]
[ 2012-09-01T01:08:10+08:00 ] /xxx2/admin.php/Article/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2012-09-01T01:09:20+08:00 ] /xxx2/admin.php/Article/add | INFO: Tag[ route_check ] --START--
[ 2012-09-01T01:09:20+08:00 ] /xxx2/admin.php/Article/add | INFO: Run CheckRoute Behavior [ RunTime:0.000993s ]
[ 2012-09-01T01:09:20+08:00 ] /xxx2/admin.php/Article/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.001115s ]
[ 2012-09-01T01:09:20+08:00 ] /xxx2/admin.php/Article/add | INFO: Tag[ app_begin ] --START--
[ 2012-09-01T01:09:20+08:00 ] /xxx2/admin.php/Article/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000597s ]
[ 2012-09-01T01:09:20+08:00 ] /xxx2/admin.php/Article/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000663s ]
[ 2012-09-01T01:09:20+08:00 ] /xxx2/admin.php/Article/add | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\ArticleAction.class.php:1) ArticleAction.class.php 第 42 行.
[ 2012-09-01T01:09:20+08:00 ] /xxx2/admin.php/Article/add | NOTIC: [8] Undefined index: mulu ArticleAction.class.php 第 43 行.
[ 2012-09-01T01:09:20+08:00 ] /xxx2/admin.php/Article/add | SQL: SHOW COLUMNS FROM `think_cata` [ RunTime:0.001984s ]
