[ 2012-08-09T23:29:29+08:00 ] /xxx/admin.php/Article/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\ArticleAction.class.php:1) View.class.php 第 120 行.
[ 2012-08-09T23:29:29+08:00 ] /xxx/admin.php/Article/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\ArticleAction.class.php:1) View.class.php 第 121 行.
[ 2012-08-09T23:29:29+08:00 ] /xxx/admin.php/Article/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\ArticleAction.class.php:1) View.class.php 第 122 行.
[ 2012-08-09T23:29:29+08:00 ] /xxx/admin.php/Article/index | INFO: Tag[ view_end ] --START--
[ 2012-08-09T23:29:29+08:00 ] /xxx/admin.php/Article/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000929s ]
[ 2012-08-09T23:29:29+08:00 ] /xxx/admin.php/Article/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001009s ]
[ 2012-08-09T23:29:30+08:00 ] /xxx/admin.php/Article/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | INFO: Tag[ route_check ] --START--
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | INFO: Run CheckRoute Behavior [ RunTime:0.001216s ]
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.001322s ]
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | INFO: Tag[ app_begin ] --START--
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000735s ]
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000798s ]
[ 2012-08-09T23:30:00+08:00 ] /xxx/admin.php/Article/add | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\ArticleAction.class.php:1) ArticleAction.class.php 第 31 行.
